zip,income,pop,unemp_pct,bb_pct,agency_cnt,agency_density,affluence
76475,48977,1037,0.008,0.495,0.0,0.0,74.6
76476,77429,3638,0.049,0.442,0.0,0.0,81.1
76481,78255,206,0.0,0.738,0.0,0.0,66.2
76483,46705,675,0.05,0.402,0.0,0.0,72.4
76484,93684,1000,0.0,0.413,0.0,0.0,74.4
76486,81131,1375,0.068,0.566,0.0,0.0,76.1
76487,73810,3799,0.095,0.476,0.0,0.0,81.4
76490,-666666666,40,0.0,0.706,0.0,0.0,19.3
76491,75313,861,0.0,0.619,0.0,0.0,73.7
76501,50764,17223,0.087,0.546,3.0,0.174,89.2
76502,80504,51175,0.064,0.788,0.0,0.0,94.9
76504,50420,24856,0.07,0.679,0.0,0.0,91.1
76511,64215,2473,0.017,0.499,0.0,0.0,79.1
76513,82366,44855,0.027,0.692,0.0,0.0,94.2
76518,57500,1290,0.031,0.333,0.0,0.0,75.8
76519,73947,672,0.0,0.273,0.0,0.0,72.4
76520,63037,8098,0.095,0.499,0.0,0.0,85.3
76522,70629,41895,0.074,0.75,0.0,0.0,93.8
76523,69896,402,0.0,0.259,0.0,0.0,69.7
76524,74671,3855,0.024,0.412,0.0,0.0,81.4
76525,73370,1210,0.037,0.672,0.0,0.0,75.4
76527,83533,4686,0.029,0.563,0.0,0.0,82.5
76528,66989,18490,0.04,0.469,0.0,0.0,89.6
76530,102000,2704,0.065,0.509,0.0,0.0,79.6
76531,55651,4673,0.08,0.604,0.0,0.0,82.4
76534,81000,2812,0.022,0.507,0.0,0.0,79.8
76537,96067,12526,0.043,0.758,0.0,0.0,87.6
76538,61103,996,0.002,0.519,0.0,0.0,74.4
76539,95899,8642,0.065,0.679,0.0,0.0,85.6
76541,36739,18571,0.143,0.603,0.0,0.0,89.6
76542,72891,53631,0.099,0.75,0.0,0.0,95.1
76543,51239,33713,0.108,0.723,0.0,0.0,92.7
76544,59753,26896,0.128,0.875,0.0,0.0,91.5
76548,80847,33071,0.048,0.787,0.0,0.0,92.6
76549,62536,56083,0.089,0.776,0.0,0.0,95.3
76550,73697,13699,0.028,0.446,0.0,0.0,88.0
76554,73558,2199,0.031,0.649,0.0,0.0,78.5
76556,52479,1928,0.033,0.382,0.0,0.0,77.8
76557,75958,5341,0.043,0.388,0.0,0.0,83.1
76559,72388,6896,0.015,0.816,0.0,0.0,84.5
76561,69875,1070,0.012,0.48,0.0,0.0,74.8
76565,-666666666,0,-6666666.66,,0.0,0.0,0.0
76566,139342,387,0.143,0.075,0.0,0.0,69.5
76567,52292,8457,0.04,0.464,0.0,0.0,85.5
76569,72400,2946,0.016,0.531,0.0,0.0,80.0
76570,39420,2506,0.0,0.584,0.0,0.0,79.2
76571,103341,9454,0.034,0.752,0.0,0.0,86.1
76573,-666666666,22,0.0,0.0,0.0,0.0,16.3
76574,72805,19746,0.042,0.684,0.0,0.0,89.9
76577,70174,3297,0.032,0.534,0.0,0.0,80.6
76578,100500,1561,0.06,0.504,0.0,0.0,76.7
76579,83146,5729,0.034,0.497,0.0,0.0,83.5
76596,-666666666,1066,-6666666.66,,0.0,0.0,36.2
76597,-666666666,3333,-6666666.66,,0.0,0.0,42.1
76598,-666666666,452,-6666666.66,,0.0,0.0,31.8
76599,-666666666,1906,-6666666.66,,0.0,0.0,39.2
76621,96413,1033,0.008,0.289,0.0,0.0,74.6
76622,75000,1497,0.016,0.325,0.0,0.0,76.5
76623,50536,102,0.0,0.385,0.0,0.0,62.6
76624,82934,2679,0.208,0.307,0.0,0.0,79.5
76626,94476,1219,0.03,0.595,0.0,0.0,75.5
76627,64318,1399,0.047,0.381,0.0,0.0,76.2
76628,96250,101,0.098,0.536,0.0,0.0,62.6
76629,72596,1812,0.06,0.466,0.0,0.0,77.5
76630,75938,1688,0.071,0.407,0.0,0.0,77.2
76631,64167,471,0.056,0.364,0.0,0.0,70.5
76632,56196,1464,0.157,0.37,0.0,0.0,76.4
76633,105174,6037,0.005,0.641,0.0,0.0,83.8
76634,72654,7483,0.042,0.483,0.0,0.0,84.9
76635,56354,1382,0.011,0.35,0.0,0.0,76.1
76636,68750,1678,0.033,0.318,0.0,0.0,77.1
76637,75909,463,0.065,0.486,0.0,0.0,70.4
76638,125938,3395,0.027,0.58,0.0,0.0,80.8
76639,47760,2005,0.03,0.381,0.0,0.0,78.0
76640,61458,2958,0.034,0.669,0.0,0.0,80.1
76641,74205,2094,0.015,0.626,0.0,0.0,78.3
76642,60186,6226,0.022,0.48,0.0,0.0,83.9
76643,83798,16244,0.059,0.862,0.0,0.0,88.9
76645,61792,11321,0.051,0.455,0.0,0.0,87.0
76648,49432,2922,0.057,0.381,0.0,0.0,80.0
76649,80357,919,0.032,0.45,0.0,0.0,74.0
76650,81875,86,0.0,0.652,0.0,0.0,61.7
76651,69191,4071,0.029,0.502,0.0,0.0,81.7
76652,71250,954,0.074,0.309,0.0,0.0,74.2
76653,60734,1133,0.033,0.358,0.0,0.0,75.1
76654,72917,168,0.0,0.48,0.0,0.0,65.2
76655,106012,9572,0.05,0.709,0.0,0.0,86.2
76656,74286,2478,0.006,0.471,0.0,0.0,79.1
76657,100160,12770,0.053,0.682,0.0,0.0,87.7
76660,43214,480,0.0,0.565,0.0,0.0,70.6
76661,40379,7266,0.123,0.47,0.0,0.0,84.7
76664,72600,3425,0.065,0.377,0.0,0.0,80.8
76665,62098,2643,0.008,0.476,0.0,0.0,79.5
76666,43889,245,0.016,0.329,0.0,0.0,67.1
76667,50396,10494,0.029,0.436,0.0,0.0,86.6
76670,59620,1921,0.096,0.436,0.0,0.0,77.8
76671,69054,1976,0.092,0.4,0.0,0.0,78.0
76673,61125,1178,0.066,0.598,0.0,0.0,75.3
76676,75500,353,0.019,0.417,0.0,0.0,69.0
76678,58182,119,0.0,0.606,0.0,0.0,63.4
76679,65179,1158,0.017,0.509,0.0,0.0,75.2
76680,-666666666,194,0.0,0.0,0.0,0.0,27.4
76681,43365,760,0.007,0.541,0.0,0.0,73.0
76682,78750,3559,0.034,0.505,0.0,0.0,81.0
76685,68816,52,0.0,0.0,0.0,0.0,59.2
76686,64500,275,0.068,0.57,0.0,0.0,67.7
76687,72072,1875,0.041,0.296,0.0,0.0,77.7
76689,76250,4421,0.048,0.499,0.0,0.0,82.2
76690,43958,1280,0.047,0.451,0.0,0.0,75.7
76691,72632,6288,0.027,0.402,0.0,0.0,84.0
76692,55455,9662,0.041,0.55,0.0,0.0,86.2
76693,56250,1966,0.0,0.215,0.0,0.0,77.9
76701,24593,1732,0.073,0.518,0.0,0.0,77.3
76704,24208,7387,0.075,0.651,0.0,0.0,84.8
76705,54881,31750,0.045,0.578,0.0,0.0,92.4
76706,42277,40668,0.033,0.713,0.0,0.0,93.7
76707,38208,16602,0.072,0.608,0.0,0.0,89.0
76708,66764,27679,0.047,0.687,0.0,0.0,91.7
76710,53304,23270,0.048,0.691,5.0,0.215,90.8
76711,52617,9631,0.041,0.67,0.0,0.0,86.2
76712,96267,28719,0.026,0.832,0.0,0.0,91.9
76798,-666666666,2903,0.025,,0.0,0.0,41.4
76801,51712,25152,0.047,0.598,0.0,0.0,91.2
76802,78000,5317,0.05,0.638,0.0,0.0,83.1
76820,-666666666,128,0.0,0.329,0.0,0.0,25.2
76821,65250,4572,0.068,0.636,0.0,0.0,82.3
76823,56853,2911,0.056,0.429,0.0,0.0,80.0
76824,-666666666,0,-6666666.66,,0.0,0.0,0.0
76825,50766,6595,0.105,0.457,0.0,0.0,84.2
