yelp_alias,title,parent_aliases,naics6,naics3,naics_title,urgency,ticket_band,maturity
cannabisreferrals,Medical Cannabis Referrals,['health'],,,,0.5,mid,established
cannabistours,Cannabis Tours,['cannabis_clinics'],,,,0.5,mid,established
canteen,Canteen,['restaurants'],,,,0.5,mid,established
cantonese,Cantonese,['chinese'],,,,0.5,mid,established
canyoneering,Canyoneering,['active'],,,,0.5,mid,established
car_dealers,Car Dealers,['auto'],,,,0.5,mid,established
carauctions,Car Auctions,['auto'],,,,0.5,mid,established
carbrokers,Car Brokers,['auto'],,,,0.5,mid,established
carbuyers,Car Buyers,['auto'],,,,0.5,mid,established
cardioclasses,Cardio Classes,['fitness'],,,,0.5,mid,established
cardiology,Cardiologists,['physicians'],,,,0.5,mid,established
careercounseling,Career Counseling,['professional'],,,,0.5,mid,established
caribbean,Caribbean,['restaurants'],,,,0.5,mid,established
caricatures,Caricatures,['eventservices'],,,,0.5,mid,established
carousels,Carousels,['active'],,,,0.5,mid,established
carpenters,Carpenters,['homeservices'],,,,0.5,mid,established
carpet_cleaning,Carpet Cleaning,['localservices'],,,,0.5,mid,established
carpetdyeing,Carpet Dyeing,['localservices'],,,,0.5,mid,established
carpeting,Carpeting,['homeservices'],,,,0.5,mid,established
carpetinstallation,Carpet Installation,['homeservices'],,,,0.5,mid,established
carrental,Car Rental,['hotelstravel'],,,,0.5,mid,established
carshares,Car Share Services,['auto'],,,,0.5,mid,established
carwash,Car Wash,['auto'],,,,0.5,mid,established
carwindowtinting,Car Window Tinting,['autoglass'],,,,0.5,mid,established
casinos,Casinos,['arts'],,,,0.5,mid,established
castles,Castles,['arts'],,,,0.5,mid,established
catalan,Catalan,['restaurants'],,,,0.5,mid,established
catering,Caterers,['eventservices'],,,,0.5,mid,established
cellphoneaccessories,Mobile Phone Accessories,['shopping'],,,,0.5,mid,established
centralbrazilian,Central Brazilian,['brazilian'],,,,0.5,mid,established
ceremonialclothing,Ceremonial Clothing,['fashion'],,,,0.5,mid,established
challengecourses,Challenge Courses,['active'],,,,0.5,mid,established
champagne_bars,Champagne Bars,['bars'],,,,0.5,mid,established
chech,Chech,['restaurants'],,,,0.5,mid,established
cheekufta,Chee Kufta,['turkish'],,,,0.5,mid,established
cheerleading,Cheerleading,['specialtyschools'],,,,0.5,mid,established
cheese,Cheese Shops,['gourmet'],,,,0.5,mid,established
cheesesteaks,Cheesesteaks,['restaurants'],,,,0.5,mid,established
cheesetastingclasses,Cheese Tasting Classes,['tastingclasses'],,,,0.5,mid,established
chicken_wings,Chicken Wings,['restaurants'],,,,0.5,mid,established
chickenshop,Chicken Shop,['restaurants'],,,,0.5,mid,established
childbirthedu,Childbirth Education,['specialtyschools'],,,,0.5,mid,established
childcare,Child Care & Day Care,['localservices'],,,,0.5,mid,established
childcloth,Children's Clothing,['fashion'],,,,0.5,mid,established
childproofing,Childproofing,['homeservices'],,,,0.5,mid,established
childrensmuseums,Children's Museums,['museums'],,,,0.5,mid,established
chilean,Chilean,['restaurants'],,,,0.5,mid,established
chimneycakes,Chimney Cakes,['food'],,,,0.5,mid,established
chimneysweeps,Chimney Sweeps,['homeservices'],,,,0.5,mid,established
chinese,Chinese,['restaurants'],,,,0.5,mid,established
chinesebazaar,Chinese Bazaar,['shopping'],,,,0.5,mid,established
chinesemartialarts,Chinese Martial Arts,['martialarts'],,,,0.5,mid,established
chiropractors,Chiropractors,['health'],,,,0.5,mid,established
chocolate,Chocolatiers & Shops,['gourmet'],,,,0.5,mid,established
choirs,Choirs,['arts'],,,,0.5,mid,established
christmastrees,Christmas Trees,['homeandgarden'],,,,0.5,mid,established
churches,Churches,['religiousorgs'],,,,0.5,mid,established
churros,Churros,['food'],,,,0.5,mid,established
cideries,Cideries,['food'],,,,0.5,mid,established
cigarbars,Cigar Bars,['bars'],,,,0.5,mid,established
circuittraininggyms,Circuit Training Gyms,['gyms'],,,,0.5,mid,established
circusschools,Circus Schools,['specialtyschools'],,,,0.5,mid,established
civiccenter,Civic Center,['publicservicesgovt'],,,,0.5,mid,established
climbing,Climbing,['active'],,,,0.5,mid,established
clockrepair,Clock Repair,['localservices'],,,,0.5,mid,established
clothingrental,Clothing Rental,['fashion'],,,,0.5,mid,established
clowns,Clowns,['eventservices'],,,,0.5,mid,established
clubcrawl,Club Crawl,['nightlife'],,,,0.5,mid,established
cocktailbars,Cocktail Bars,['bars'],,,,0.5,mid,established
coffee,Coffee & Tea,['food'],,,,0.5,mid,established
coffeeroasteries,Coffee Roasteries,['food'],,,,0.5,mid,established
coffeeshops,Coffeeshops,['nightlife'],,,,0.5,mid,established
coffeeteasupplies,Coffee & Tea Supplies,['food'],,,,0.5,mid,established
collegecounseling,College Counseling,['education'],,,,0.5,mid,established
collegeuniv,Colleges & Universities,['education'],,,,0.5,mid,established
colombian,Colombian,['latin'],,,,0.5,mid,established
colonics,Colonics,['health'],,,,0.5,mid,established
comedyclubs,Comedy Clubs,['nightlife'],,,,0.5,mid,established
comfortfood,Comfort Food,['restaurants'],,,,0.5,mid,established
comicbooks,Comic Books,['media'],,,,0.5,mid,established
commercialrealestate,Commercial Real Estate,['realestate'],,,,0.5,mid,established
commissionedartists,Commissioned Artists,['professional'],,,,0.5,mid,established
communitybookbox,Community Book Box,['localservices'],,,,0.5,mid,established
communitycenters,Community Centers,['publicservicesgovt'],,,,0.5,mid,established
communitygardens,Community Gardens,['localservices'],,,,0.5,mid,established
computers,Computers,['shopping'],,,,0.5,mid,established
concept_shops,Concept Shops,['shopping'],,,,0.5,mid,established
conciergemedicine,Concierge Medicine,['health'],,,,0.5,mid,established
condominiums,Condominiums,['realestate'],,,,0.5,mid,established
congee,Congee,['chinese'],,,,0.5,mid,established
consumerlaw,Consumer Law,['lawyers'],,,,0.5,mid,established
contractlaw,Contract Law,['lawyers'],,,,0.5,mid,established
contractors,General Contractors,['homeservices'],,,,0.5,mid,established
convenience,Convenience Stores,['food'],,,,0.5,mid,established
conveyorsushi,Conveyor Belt Sushi,['japanese'],,,,0.5,mid,established
cookingclasses,Cooking Classes,['artsandcrafts'],,,,0.5,mid,established
cookingschools,Cooking Schools,['specialtyschools'],,,,0.5,mid,established
copyshops,Printing Services,['localservices'],,,,0.5,mid,established
corsican,Corsican,['restaurants'],,,,0.5,mid,established
cosmeticdentists,Cosmetic Dentists,['dentists'],,,,0.5,mid,established
cosmetics,Cosmetics & Beauty Supply,"['beautysvc', 'shopping']",,,,0.5,mid,established
cosmeticsurgeons,Cosmetic Surgeons,['physicians'],,,,0.5,mid,established
